City,data,FIPS,Lat,Long,State,Zip
Inwood,1,19119,43.3072022,-96.4319799,IA,51240
,,,,,,
Ipswich,2,46045,45.4444193,-99.0292784,SD,57451
,,,,,,
Irene,6,46027,43.0830474,-97.1606081,SD,57037
,,,,,,
Iroquois,7,46077,44.3669201,-97.8509171,SD,57353
,,,,,,
Isabel,1,46041,45.39223,-101.43093,SD,57633 
,,,,,,
Java,1,46129,45.5033204,-99.8865083,SD,57452
,,,,,,
Jefferson,14,46127,42.6024951,-96.5591992,SD,57038
,,,,,,
Kadoka,5,46071,43.833882,-101.5098658,SD,57543
,,,,,,
Kaylor,2,46067,43.1880473,-97.8386801,SD,57354
,,,,,,
Keystone,4,46103,43.8955436,-103.4182455,SD,57751
,,,,,,
Kimball,6,46015,43.7466651,-98.9584258,SD,57355
,,,,,,
Labolt,1,46051,45.0507982,-96.6767275,SD,57246
,,,,,,
Lake Andes,5,46023,43.1563822,-98.5414703,SD,57356
,,,,,,
Lake City,1,46091,45.7252321,-97.4145399,SD,57247
,,,,,,
Lake Norden,11,46057,44.5805215,-97.2092381,SD,57248
,,,,,,
Lake Preston,7,46077,44.3635802,-97.377294,SD,57249
,,,,,,
Lane,1,46073,44.0697111,-98.4250897,SD,57358
,,,,,,
Langford,10,46091,45.6024517,-97.830379,SD,57454
,,,,,,
Le Mars,1,19149,42.7941567,-96.1655778,IA,51031
,,,,,,
Lead,24,46081,44.3522065,-103.7651984,SD,57754
,,,,,,
Lennox,25,46083,43.3541476,-96.8919951,SD,57039
,,,,,,
Lesterville,2,46135,43.0394406,-97.5956206,SD,57040
,,,,,,
Letcher,6,46111,43.8972067,-98.1386936,SD,57359
,,,,,,
Little Eagle,1,46031,45.67583,-100.8043037,SD,57639
,,,,,,
Lodgepole,2,46105,45.8047219,-102.6607138,SD,57640
,,,,,,
Madison,66,46079,44.0060847,-97.1139496,SD,57042
,,,,,,
Mansfield,3,46115,45.243032,-98.5628734,SD,57460
,,,,,,
Marion,14,46125,43.4230394,-97.2606153,SD,57043
,,,,,,
Martin,3,46007,43.1724984,-101.7326485,SD,57551
,,,,,,
Maurice,1,19167,42.9663763,-96.1805771,IA,51036
,,,,,,
Mccook Lake,3,46127,42.5416614,-96.5058646,SD,57049
,,,,,,
McLaughlin,1,46031,45.8144431,-100.8104113,SD,57642
,,,,,,
Mellette,2,46115,45.1544202,-98.4975935,SD,57461
,,,,,,
Menno,23,46067,43.2397131,-97.5778442,SD,57045
,,,,,,
Midland,4,46055,44.0716539,-101.1554178,SD,57552
,,,,,,
Milbank,23,46051,45.2191313,-96.6356167,SD,57252
,,,,,,
Milford,2,19059,43.3246863,-95.149996,IA,51351
,,,,,,
Miller,2,46059,44.5183148,-98.988434,SD,57362
,,,,,,
Mina,6,46045,45.4333098,-98.7587135,SD,57451
,,,,,,
Mission Hill,3,46135,42.9233297,-97.2789433,SD,57046
,,,,,,
Mission,3,46121,43.3058368,-100.6581944,SD,57555
,,,,,,
Mitchell,90,46035,43.7094283,-98.0297992,SD,57301
,,,,,,
Mobridge,24,46129,45.5372162,-100.4279129,SD,57601
,,,,,,
Monroe,1,46125,43.4863706,-97.2150594,SD,57047
,,,,,,
Montrose,12,46087,43.6985894,-97.1836712,SD,57048
,,,,,,
Mount Vernon,7,46035,43.7105415,-98.2603594,SD,57363
,,,,,,
Murdo,9,46075,43.8883224,-100.7129143,SD,57559
,,,,,,
Nemo,1,46081,44.1941528,-103.5049119,SD,57759
,,,,,,
New Underwood,3,46103,44.0933202,-102.8362824,SD,57761
,,,,,,
Newell,10,46019,44.7147082,-103.4207436,SD,57760
,,,,,,
Nisland,2,46019,44.6730407,-103.5535258,SD,57762
,,,,,,
North Sioux City,32,46127,42.5272168,-96.4830864,SD,57049
,,,,,,
Northville,4,46115,45.1555313,-98.5792629,SD,57465
,,,,,,
Oacoma,1,46085,43.7961053,-99.3956571,SD,57365
,,,,,,
Ocheyedan,2,19143,43.4160783,-95.5347302,IA,51354
,,,,,,
Olivet,1,46067,43.240824,-97.6753449,SD,57052
,,,,,,
Onida,7,46119,44.7080379,-100.059845,SD,57564
,,,,,,
Opal,2,46093,44.8916545,-102.4504418,SD,57758
,,,,,,
Ortley,2,46109,45.332183,-97.1956377,SD,57256
,,,,,,
Parker,12,46125,43.3974827,-97.1364454,SD,57053
,,,,,,
Parkston,9,46067,43.3988755,-97.9836831,SD,57366
,,,,,,
Parmelee,3,46121,43.3230585,-101.0265364,SD,57566
,,,,,,
Philip,9,46055,44.0394329,-101.6651441,SD,57567
,,,,,,
Pickstown,1,46023,43.0672168,-98.5320265,SD,57367
,,,,,,
Piedmont,10,46093,44.231653,-103.3890753,SD,57769
,,,,,,
